date,language,value
2008/01/31,as,2
2008/02/29,as,1
2008/03/31,as,0
2008/04/30,as,0
2008/05/31,as,0
2008/06/30,as,0
2008/07/31,as,0
2008/08/31,as,0
2008/09/30,as,0
2008/10/31,as,0
2008/11/30,as,0
2008/12/31,as,0
2009/01/31,as,0
2009/02/28,as,1
2009/03/31,as,0
2009/04/30,as,0
2009/05/31,as,1
2009/06/30,as,0
2009/07/31,as,1
2009/08/31,as,0
2009/09/30,as,0
2009/10/31,as,0
2009/11/30,as,0
2009/12/31,as,0
2010/01/31,as,0
2010/02/28,as,0
2010/03/31,as,0
2010/04/30,as,0
2010/05/31,as,0
2010/06/30,as,2
2010/07/31,as,0
2010/08/31,as,0
2010/09/30,as,0
2010/10/31,as,0
2010/11/30,as,1
2010/12/31,as,0
2011/01/31,as,1
2011/02/28,as,2
2011/03/31,as,0
2011/04/30,as,1
2011/05/31,as,0
2011/06/30,as,3
2011/07/31,as,2
2011/08/31,as,4
2011/09/30,as,6
2011/10/31,as,0
2011/11/30,as,3
2011/12/31,as,6
2012/01/31,as,3
2012/02/29,as,4
2012/03/31,as,5
2012/04/30,as,7
2012/05/31,as,5
2012/06/30,as,7
2012/07/31,as,2
2012/08/31,as,1
2012/09/30,as,2
2012/10/31,as,3
2012/11/30,as,4
2012/12/31,as,0
2008/01/31,bh,0
2008/02/29,bh,0
2008/03/31,bh,0
2008/04/30,bh,0
2008/05/31,bh,0
2008/06/30,bh,1
2008/07/31,bh,0
2008/08/31,bh,0
2008/09/30,bh,0
2008/10/31,bh,0
2008/11/30,bh,0
2008/12/31,bh,1
2009/01/31,bh,0
2009/02/28,bh,0
2009/03/31,bh,0
2009/04/30,bh,0
2009/05/31,bh,0
2009/06/30,bh,0
2009/07/31,bh,1
2009/08/31,bh,0
2009/09/30,bh,0
2009/10/31,bh,0
2009/11/30,bh,1
2009/12/31,bh,0
2010/01/31,bh,0
2010/02/28,bh,2
2010/03/31,bh,0
2010/04/30,bh,1
2010/05/31,bh,0
2010/06/30,bh,0
2010/07/31,bh,1
2010/08/31,bh,0
2010/09/30,bh,0
2010/10/31,bh,1
2010/11/30,bh,0
2010/12/31,bh,0
2011/01/31,bh,2
2011/02/28,bh,0
2011/03/31,bh,0
2011/04/30,bh,0
2011/05/31,bh,0
